Tou's dealership| 123-43 | 123-456-7890
1011223|1993|Ford|Explorer|SUV|Red|525123|99500.00
3784667|2001|Ford|Ranger|truck|Yellow|172544|199500.00
4490133|2012|Honda|Civic|SUV|Gray|103221|699500.00
4381572|2023|Audi|R8|Coupe|Silver|3350|1890000.00
1920638|2022|Porsche|911|Coupe|White|4500|128000.00
5534782|2021|Bentley|Continental GT|Coupe|Gray|7800|210000.00
1876943|2023|Rolls-Royce|Ghost|Sedan|Black|1200|315000.00
9937241|2022|Lamborghini|Aventador|Coupe|Yellow|2800|480000.00
2684518|2020|Aston Martin|DB11|Coupe|Blue|14500|107000.00
8773194|2023|Ferrari|812 Superfast|Coupe|Red|1600|350000.00
5361829|2022|Bugatti|Chiron|Coupe|Black|1500|3000000.00
4081952|2021|McLaren|720S|Coupe|Orange|6700|259000.00
